source,category,tips
WHO,diet,"Energy intake (calories) should be in balance with energy expenditure. To avoid unhealthy weight gain, total fat should not exceed 30% of total energy intake. Intake of saturated fats should be less than 10% of total energy intake, and intake of trans-fats less than 1% of total energy intake, with a shift in fat consumption away from saturated fats and trans-fats to unsaturated fats, and towards the goal of eliminating industrially-produced trans-fats."
WHO,diet,Limiting intake of free sugars to less than 10% of total energy intake is part of a healthy diet. A further reduction to less than 5% of total energy intake is suggested for additional health benefits.
WHO,diet,"Keeping salt intake to less than 5 g per day (equivalent to sodium intake of less than 2 g per day) helps to prevent hypertension, and reduces the risk of heart disease and stroke in the adult population."
WHO,diet,"At least 400 g (i.e. five portions) of fruit and vegetables per day, excluding potatoes, sweet potatoes, cassava and other starchy roots."
WHO,diet,"Fruit, vegetables, legumes (e.g. lentils and beans), nuts and whole grains (e.g. unprocessed maize, millet, oats, wheat and brown rice)."
WHO,diet,"Less than 10% of total energy intake from free sugars which is equivalent to 50 g (or about 12 level teaspoons) for a person of healthy body weight consuming about 2000 calories per day, but ideally is less than 5% of total energy intake for additional health benefits (7). Free sugars are all sugars added to foods or drinks by the manufacturer, cook or consumer, as well as sugars naturally present in honey, syrups, fruit juices and fruit juice concentrates."
WHO,diet,"Less than 30% of total energy intake from fats. Unsaturated fats (found in fish, avocado and nuts, and in sunflower, soybean, canola and olive oils) are preferable to saturated fats (found in fatty meat, butter, palm and coconut oil, cream, cheese, ghee and lard) and trans-fats of all kinds, including both industrially-produced trans-fats (found in baked and fried foods, and pre-packaged snacks and foods, such as frozen pizza, pies, cookies, biscuits, wafers, and cooking oils and spreads) and ruminant trans-fats (found in meat and dairy foods from ruminant animals, such as cows, sheep, goats and camels). It is suggested that the intake of saturated fats be reduced to less than 10% of total energy intake and trans-fats to less than 1% of total energy intake. In particular, industrially-produced trans-fats are not part of a healthy diet and should be avoided."
WHO,diet,Less than 5 g of salt (equivalent to about one teaspoon) per day. Salt should be iodized.
WHO,diet,"Eating at least 400 g, or five portions, of fruit and vegetables per day reduces the risk of NCDs and helps to ensure an adequate daily intake of dietary fibre."
WHO,diet,always including vegetables in meals;
WHO,diet,eating fresh fruit and raw vegetables as snacks;
WHO,diet,eating fresh fruit and vegetables that are in season
WHO,diet,eating a variety of fruit and vegetables.
WHO,diet,Reducing the amount of total fat intake to less than 30% of total energy intake helps to prevent unhealthy weight gain in the adult population
WHO,diet,"Most people consume too much sodium through salt (corresponding to consuming an average of 9–12 g of salt per day) and not enough potassium (less than 3.5 g). High sodium intake and insufficient potassium intake contribute to high blood pressure, which in turn increases the risk of heart disease and stroke"
WHO,diet,Reducing salt intake to the recommended level of less than 5 g per day
WHO,diet,"In both adults and children, the intake of free sugars should be reduced to less than 10% of total energy intake"
WHO,diet,"Consuming free sugars increases the risk of dental caries (tooth decay). Excess calories from foods and drinks high in free sugars also contribute to unhealthy weight gain, which can lead to overweight and obesity."
WHO,diet,"Eating a variety of whole (i.e. unprocessed) and fresh foods every day helps children and adults to obtain the right amounts of essential nutrients. It also helps them to avoid a diet that is high in sugars, fats and salt, which can lead to unhealthy weight gain (i.e. overweight and obesity) and noncommunicable diseases."
WHO,diet,"WHO recommends that people eat a wide variety of vegetables and fruit. For snacks, choose raw vegetables and fresh fruit, rather than foods that are high in sugars, fats or salt."
WHO,diet,"Avoid overcooking vegetables and fruit as this can lead to the loss of important vitamins. When using canned or dried vegetables and fruit, choose varieties without added salt and sugars"
WHO,diet,"Vegetables and fruit are important sources of vitamins, minerals, dietary fibre, plant protein and antioxidants. People whose diets are rich in vegetables and fruit have a significantly lower risk of obesity, heart disease, stroke, diabetes and certain types of cancer."
WHO,diet,"Moderate amounts of fats and oils are part of a healthy diet. Fats and oils are concentrated sources of energy, and eating too much fat, particularly the wrong kinds of fat, can be harmful to health."
WHO,diet,"Use unsaturated vegetable oils (e.g. olive, soy, sunflower or corn oil) rather than animals fats or oils high in saturated fats (e.g. butter, ghee, lard, coconut and palm oil)."
WHO,diet,"When possible, choose white meat (e.g. poultry) and fish, which are generally low in fats, rather than red meat. Eat only limited amounts of processed meats because these are high in fat and salt."
WHO,diet,"Try also to opt for low-fat or reduced fat versions of milk and dairy products. Avoid processed, baked and fried foods that contain industrially produced trans-fat."
CDC,diet,"Start your day with a whole-grain cereal, like oatmeal."
CDC,diet,Foods made with bulgur or quinoa are also high in fiber
CDC,diet,"Top your cereal with berries, pumpkin seeds, or almonds"
CDC,diet,A half-cup of beans or lentils on a salad can add texture and flavor.
CDC,diet,Enjoy fresh fruit with a meal or as dessert
CDC,diet,Calcium and vitamin D work together to promote optimal bone health. Our bodies can make vitamin D from sunshine.
CDC,diet,"Potassium helps the kidneys, heart, muscles and, nerves function properly. Not getting enough potassium can increase blood pressure, deplete calcium in bones, and increase the risk of kidney stones."
CDC,diet,"Too much added sugar in your diet can contribute to weight gain, obesity, type 2 diabetes, and heart disease. Added sugars are sugars and syrups that are added to foods and drinks when they are processed or prepared."
CDC,diet,Drink water instead of sugary drinks
CDC,diet,Replace whole milk in a smoothie with low-fat yogurt and an avocado
CDC,diet,Sprinkle nuts or seeds on salads instead of cheese
CDC,diet,"Eating too much sodium can raise your risk of high blood pressure, heart attack, and stroke."
NIH,diet,"Choose whole grains more often. Try whole-wheat breads and pastas, oatmeal, or brown rice."
NIH,diet,"Select a mix of colorful vegetables. Vegetables of different colors provide a variety of nutrients. Try collards, kale, spinach, squash, sweet potatoes, and tomatoes."
NIH,diet,"At restaurants, eat only half of your meal and take the rest home."
NIH,physical_activity,"Walk in parks, around a track, or in your neighborhood with your family or friends."
NIH,physical_activity,Make getting physical activity a priority.
NIH,physical_activity,"Try to do at least 150 minutes a week of moderate-intensity aerobic activity, like biking or brisk walking."
NIH,physical_activity,"If your time is limited, work in small amounts of activity throughout your day."
NIH,diet,Make a shopping list and stick to it. Don't shop when you are hungry.
NIH,diet,"Don't keep foods high in fat, added sugar, or salt in your home, workplace, or car. You can’t consume what’s not there! Keep healthier snacks ready so that you make the healthy choice the easy choice!"
NIH,diet,"Ask for smaller servings. At a restaurant, consume only half your meal and take the rest home."
NIH,diet,Eat your meals at a table. Turn off the TV and all other devices so you don't mindlessly eat or drink too much. Enjoy your food without distraction.
NIH,physical_activity,Choose parking spots that are farther away for extra steps. (Make sure the places where you park and walk are safe and well lit.)
NIH,physical_activity,"Walk around the inside of a shopping mall or other large building, especially in bad weather."
NIH,physical_activity,"Rake the leaves, wash the car, or do brisk housecleaning."
NIH,physical_activity,Visit museums or the zoo. Many of these activities are free. You and your family can walk for hours and not realize how far you have gone.
NIH,physical_activity,"Take a break from sitting at the computer, TV, or other device."
NIH,physical_activity,"Start a walking or other active group where you work, live, or worship. Having a buddy can help keep you focused and add fun to your activity."
NIH,physical_activity,"If your time is limited, do 10 minutes of exercise at a time. Spread these bursts of activity throughout the day. Every little bit counts!"
NIH,physical_activity,"Plan ahead to avoid setbacks. Find a backup activity you can do in case of bad weather or injury. If you do have a setback, regroup and focus on meeting your goal again as soon as you can."
mayo_clinic,sleep,Set aside no more than eight hours for sleep. The recommended amount of sleep for a healthy adult is at least seven hours. Most people don't need more than eight hours in bed to be well rested.
mayo_clinic,sleep,"Go to bed and get up at the same time every day, including weekends. Being consistent reinforces your body's sleep-wake cycle."
mayo_clinic,sleep,"Don't go to bed hungry or stuffed. In particular, avoid heavy or large meals within a couple of hours of bedtime. Discomfort might keep you up."
mayo_clinic,sleep,"Nicotine, caffeine and alcohol deserve caution, too. The stimulating effects of nicotine and caffeine take hours to wear off and can interfere with sleep. And even though alcohol might make you feel sleepy at first, it can disrupt sleep later in the night."
mayo_clinic,sleep,Long daytime naps can interfere with nighttime sleep. Limit naps to no more than one hour and avoid napping late in the day.
mayo_clinic,sleep,"if you work nights, you might need to nap late in the day before work to help make up your sleep debt."
mayo_clinic,sleep,"Stress management might help. Start with the basics, such as getting organized, setting priorities and delegating tasks. Meditation also can ease anxiety."
NIH,sleep,"Stick to a sleep schedule. Go to bed and wake up at the same time every day, even on the weekends."
NIH,sleep,Get some exercise every day. But not close to bedtime.
NIH,sleep,Go outside. Try to get natural sunlight for at least 30 minutes every day.
NIH,sleep,Avoid nicotine and caffeine. Both are stimulants that keep you awake. Caffeine can take 6–8 hours to wear off completely.
NIH,sleep,Don’t take naps after mid-afternoon. And keep them short.
NIH,sleep,"Avoid alcohol and large meals before bedtime. Both can prevent deep, restorative sleep."
NIH,sleep,"Limit electronics before bed. Try reading a book, listening to soothing music, or another relaxing activity instead."
NIH,sleep,Create a good sleeping environment. Keep the temperature cool if possible. Get rid of sound and light distractions. Make it dark. Silence your cell phone.
NIH,sleep,"Don’t lie in bed awake. If you can’t fall asleep after 20 minutes, get up and do a relaxing activity until you feel sleepy again."
NIH,sleep,See your health care provider if nothing you try helps. They can determine if you need further testing. They can also help you learn new ways to manage stress.
health_org,physical_activity,"Get at least 150 minutes per week of moderate-intensity aerobic activity or 75 minutes per week of vigorous aerobic activity, or a combination of both, preferably spread throughout the week."
health_org,physical_activity,Add moderate- to high-intensity muscle-strengthening activity (such as resistance or weights) on at least 2 days per week.
health_org,physical_activity,Spend less time sitting. Even light-intensity activity can offset some of the risks of being sedentary.
health_org,physical_activity,Gain even more benefits by being active at least 300 minutes (5 hours) per week.
health_org,physical_activity,Increase amount and intensity gradually over time.
